"Timestamp","Message Size (bytes)"
"2023-08-23T12:57:54.231590","7"
"2023-08-23T12:57:55.439840","7"
"2023-08-23T12:57:56.721133","7"
"2023-08-23T12:57:57.906150","7"
"2023-08-23T12:57:59.121982","7"
"2023-08-23T12:58:00.330968","7"
"2023-08-23T12:58:01.543494","7"
"2023-08-23T12:58:02.735947","7"
"2023-08-23T12:58:03.930175","7"
"2023-08-23T12:58:05.120718","7"
"2023-08-23T12:58:06.312847","7"
"2023-08-23T12:58:07.531084","7"
"2023-08-23T12:58:08.708158","7"
"2023-08-23T12:58:09.922099","7"
"2023-08-23T12:58:11.115760","9"
"2023-08-23T12:58:12.328470","9"
"2023-08-23T12:58:13.517992","9"
"2023-08-23T12:58:14.707515","9"
"2023-08-23T12:58:15.911708","9"
"2023-08-23T12:58:17.109272","9"
"2023-08-23T12:58:18.293105","9"
"2023-08-23T12:58:19.482441","9"
"2023-08-23T12:58:20.697057","9"
"2023-08-23T12:58:21.879848","9"
"2023-08-23T12:58:23.082750","10"
"2023-08-23T12:58:24.302936","10"
"2023-08-23T12:58:25.507379","10"
"2023-08-23T12:58:26.781073","10"
"2023-08-23T12:58:27.987127","10"
"2023-08-23T12:58:29.179541","10"
"2023-08-23T12:58:30.388130","10"
"2023-08-23T12:58:31.617686","10"
"2023-08-23T12:58:32.807709","10"
"2023-08-23T12:58:33.998567","10"
"2023-08-23T12:58:35.217839","10"
"2023-08-23T12:58:36.437251","10"
"2023-08-23T12:58:37.631173","10"
"2023-08-23T12:58:38.816509","10"
"2023-08-23T12:58:40.037673","10"
"2023-08-23T12:58:41.306452","10"
"2023-08-23T12:58:42.520387","10"
"2023-08-23T12:58:43.772823","10"
"2023-08-23T12:58:45.016045","10"
"2023-08-23T12:58:46.249719","10"
"2023-08-23T12:58:47.479971","10"
"2023-08-23T12:58:48.780194","10"
"2023-08-23T12:58:50.038796","10"
"2023-08-23T12:58:51.302154","10"
"2023-08-23T12:58:52.611125","10"
"2023-08-23T12:58:53.877991","10"
"2023-08-23T12:58:55.114460","10"
"2023-08-23T12:58:56.343689","10"
"2023-08-23T12:58:57.566675","10"
"2023-08-23T12:58:58.803166","10"
"2023-08-23T12:59:00.077225","10"
"2023-08-23T12:59:01.284021","10"
"2023-08-23T12:59:02.487056","10"
"2023-08-23T12:59:03.677137","10"
"2023-08-23T12:59:04.880401","10"
"2023-08-23T12:59:06.095472","10"
